start_time,stop_time
2020-06-07 02:23:55.000,2020-06-07 02:50:48.838
2020-06-08 12:02:23.000,2020-06-08 12:05:19.006
2020-06-18 08:55:42.000,2020-06-18 09:02:00.444
2020-06-01 18:15:25.000,2020-06-01 18:24:29.747
2020-06-01 23:30:54.000,2020-06-01 23:35:56.320
2020-06-12 00:47:57.000,2020-06-12 01:01:46.290
2020-06-23 14:52:34.000,2020-06-23 15:04:19.083
2020-06-28 23:09:42.000,2020-06-28 23:17:24.470
2020-06-28 10:31:30.000,2020-06-28 10:44:24.754
2020-06-29 02:33:08.000,2020-06-29 02:41:43.801
2020-06-07 02:42:58.000,2020-06-07 02:51:16.330
2020-06-30 22:30:44.000,2020-06-30 22:37:21.580
2020-06-16 02:36:56.000,2020-06-16 02:50:35.733
2020-06-30 18:00:06.000,2020-06-30 18:10:54.475
2020-06-29 07:36:49.000,2020-06-29 07:42:05.704
2020-06-17 23:08:09.000,2020-06-17 23:10:20.745
2020-06-01 18:55:48.000,2020-06-01 19:00:15.251
2020-06-22 03:07:45.000,2020-06-22 03:10:24.401
2020-06-03 23:15:08.000,2020-06-03 23:25:36.435
2020-06-10 07:13:11.000,2020-06-10 07:19:00.515
2020-06-11 09:09:02.000,2020-06-11 09:19:12.961
2020-06-26 12:08:02.000,2020-06-26 12:16:01.691
2020-06-07 23:52:45.000,2020-06-08 00:06:20.000
2020-06-22 15:42:08.000,2020-06-22 16:03:26.184
2020-06-30 14:24:49.000,2020-06-30 14:36:36.347
2020-06-21 12:36:55.000,2020-06-21 12:39:52.574
2020-06-24 18:59:15.000,2020-06-24 19:01:30.899
2020-06-10 07:51:29.000,2020-06-10 07:57:04.838
2020-06-18 10:59:09.000,2020-06-18 11:09:26.995
2020-06-27 16:23:33.000,2020-06-27 16:26:14.350
2020-06-16 18:48:35.000,2020-06-16 18:56:32.390
2020-06-15 03:00:05.000,2020-06-15 03:34:47.535
2020-06-04 03:30:36.000,2020-06-04 03:34:00.898
2020-06-25 06:05:05.000,2020-06-25 06:51:34.844
2020-06-27 14:43:55.000,2020-06-27 15:15:03.356
2020-06-03 06:39:29.000,2020-06-03 07:08:13.240
2020-06-15 17:15:41.000,2020-06-15 17:47:34.333
2020-06-13 02:46:37.000,2020-06-13 02:49:52.092
2020-06-19 08:06:38.000,2020-06-19 08:11:05.504
2020-06-30 22:03:51.000,2020-06-30 22:08:00.870
2020-06-07 12:51:25.000,2020-06-07 12:55:11.137
2020-06-17 05:28:27.000,2020-06-17 05:36:24.360
2020-06-16 04:22:16.000,2020-06-16 04:50:51.910
2020-06-12 15:48:13.000,2020-06-12 15:54:34.271
2020-06-07 17:04:39.000,2020-06-07 17:10:51.006
2020-06-01 06:27:27.000,2020-06-01 06:46:21.001
2020-06-13 10:01:16.000,2020-06-13 10:04:47.754
2020-06-16 07:28:25.000,2020-06-16 07:37:07.052
2020-06-21 11:00:40.000,2020-06-21 11:07:55.146
2020-06-30 06:37:47.000,2020-06-30 07:07:58.357
2020-06-15 20:59:20.000,2020-06-15 21:12:10.320
2020-06-19 15:28:28.000,2020-06-19 15:46:03.817
2020-06-22 19:57:02.000,2020-06-22 20:01:06.337
2020-06-12 07:52:12.000,2020-06-12 08:33:51.532
2020-06-17 11:57:52.000,2020-06-17 12:05:42.347
2020-06-01 13:36:24.000,2020-06-01 13:56:48.329
2020-06-28 18:41:10.000,2020-06-28 19:29:33.537
2020-06-28 08:04:24.000,2020-06-28 08:17:03.536
2020-06-18 09:53:04.000,2020-06-18 10:05:41.499
2020-06-24 12:54:03.000,2020-06-24 12:57:55.241
2020-06-26 19:41:59.000,2020-06-26 19:51:24.273
2020-06-21 06:42:06.000,2020-06-21 07:12:48.320
2020-06-02 13:52:10.000,2020-06-02 13:56:20.634
2020-06-30 20:05:06.000,2020-06-30 20:44:31.506
2020-06-21 02:31:35.000,2020-06-21 02:50:05.488
2020-06-25 10:25:38.000,2020-06-25 10:35:49.745
2020-06-07 18:49:06.000,2020-06-07 19:02:57.680
2020-06-25 10:03:38.000,2020-06-25 10:08:04.793
2020-06-26 19:56:25.000,2020-06-26 20:02:05.716
2020-06-04 08:16:38.000,2020-06-04 08:23:41.700
2020-06-22 08:03:20.000,2020-06-22 08:12:37.294
2020-06-13 11:45:11.000,2020-06-13 12:24:15.137
2020-06-12 12:41:47.000,2020-06-12 12:50:39.365
2020-06-05 01:34:39.000,2020-06-05 01:47:46.792
2020-06-22 15:30:30.000,2020-06-22 15:35:09.091
2020-06-06 15:59:30.000,2020-06-06 16:21:28.534
2020-06-24 17:38:51.000,2020-06-24 17:53:10.457
2020-06-16 07:08:05.000,2020-06-16 07:18:46.687
2020-06-25 13:21:30.000,2020-06-25 14:07:36.889
2020-06-27 14:33:36.000,2020-06-27 15:08:47.888
2020-06-06 16:27:14.000,2020-06-06 16:45:23.635
2020-06-23 13:11:00.000,2020-06-23 13:51:13.779
2020-06-02 14:39:42.000,2020-06-02 14:54:10.716
2020-06-18 14:31:41.000,2020-06-18 14:59:59.690
2020-06-14 23:15:14.000,2020-06-14 23:25:08.046
2020-06-03 03:07:44.000,2020-06-03 03:11:05.665
2020-06-03 11:27:00.000,2020-06-03 12:46:06.965
2020-06-23 20:03:10.000,2020-06-23 20:07:52.972
2020-06-11 09:17:01.000,2020-06-11 09:23:21.727
2020-06-20 14:41:30.000,2020-06-20 14:46:10.249
2020-06-14 12:22:32.000,2020-06-14 12:30:42.533
2020-06-27 19:22:01.000,2020-06-27 19:29:08.329
2020-06-02 10:00:09.000,2020-06-02 10:15:56.145
2020-06-24 08:11:56.000,2020-06-24 09:38:35.269
2020-06-28 04:59:30.000,2020-06-28 05:02:18.544
2020-06-09 21:46:38.000,2020-06-09 22:11:14.368
2020-06-13 17:09:51.000,2020-06-13 17:13:54.260
2020-06-11 02:52:51.000,2020-06-11 02:55:09.030
2020-06-17 21:32:13.000,2020-06-17 21:49:28.935
2020-06-14 08:40:54.000,2020-06-14 09:13:53.448
2020-06-12 06:25:48.000,2020-06-12 06:30:42.552
2020-06-15 01:04:35.000,2020-06-15 01:12:51.167
2020-06-24 09:38:20.000,2020-06-24 09:43:06.342
2020-06-12 13:33:58.000,2020-06-12 14:11:30.887
2020-06-23 07:40:34.000,2020-06-23 07:47:17.684
2020-06-05 09:33:09.000,2020-06-05 09:43:58.442
2020-06-30 01:57:47.000,2020-06-30 02:33:33.200
2020-06-01 12:06:25.000,2020-06-01 12:20:29.413
2020-06-17 10:25:45.000,2020-06-17 11:08:15.741
2020-06-26 00:19:56.000,2020-06-26 01:01:04.815
2020-06-30 09:24:08.000,2020-06-30 09:35:25.239
2020-06-02 06:25:56.000,2020-06-02 06:41:01.870
2020-06-19 05:39:17.000,2020-06-19 05:45:12.595
2020-06-24 20:31:23.000,2020-06-24 21:43:17.216
2020-06-03 07:37:15.000,2020-06-03 07:44:08.551
2020-06-25 13:44:51.000,2020-06-25 14:09:47.346
2020-06-24 06:03:41.000,2020-06-24 06:11:18.838
2020-06-14 21:44:42.000,2020-06-14 21:52:19.934
2020-06-07 06:38:55.000,2020-06-07 06:42:33.695
2020-06-01 21:02:46.000,2020-06-01 21:17:04.669
2020-06-30 00:07:55.000,2020-06-30 00:14:07.733
2020-06-29 18:06:53.000,2020-06-29 18:11:17.568
2020-06-20 16:34:00.000,2020-06-20 16:39:51.340
2020-06-12 09:25:46.000,2020-06-12 09:32:06.226
2020-06-18 09:32:45.000,2020-06-18 09:45:16.212
2020-06-26 20:50:00.000,2020-06-26 20:59:18.871
2020-06-02 11:32:28.000,2020-06-02 11:35:38.642
2020-06-19 20:11:20.000,2020-06-19 20:24:51.139
2020-06-05 15:51:30.000,2020-06-05 16:16:44.980
2020-06-06 18:37:26.000,2020-06-06 18:52:14.481
2020-06-30 11:53:41.000,2020-06-30 12:50:44.590
2020-06-01 06:05:59.000,2020-06-01 06:09:32.975
2020-06-21 19:39:52.000,2020-06-21 20:07:41.098
2020-06-23 14:48:29.000,2020-06-23 15:01:03.138
2020-06-22 06:45:56.000,2020-06-22 06:58:59.568
2020-06-03 15:29:36.000,2020-06-03 15:42:34.886
2020-06-27 04:36:30.000,2020-06-27 04:44:24.163
2020-06-17 00:30:50.000,2020-06-17 00:38:43.145
2020-06-01 16:58:07.000,2020-06-01 17:15:06.324
2020-06-12 17:29:03.000,2020-06-12 17:31:44.218
2020-06-25 02:24:23.000,2020-06-25 02:39:42.777
2020-06-26 15:26:43.000,2020-06-26 15:48:03.547
2020-06-18 07:36:16.000,2020-06-18 07:44:52.507
2020-06-22 19:53:33.000,2020-06-22 19:59:13.570
2020-06-06 02:09:52.000,2020-06-06 02:15:28.016
2020-06-01 10:55:53.000,2020-06-01 10:59:09.844
2020-06-27 12:10:27.000,2020-06-27 12:13:51.602
2020-06-01 18:08:38.000,2020-06-01 18:13:22.112
2020-06-09 20:35:13.000,2020-06-09 20:37:30.423
2020-06-18 17:21:06.000,2020-06-18 17:27:44.610
2020-06-05 19:48:00.000,2020-06-05 19:55:29.276
2020-06-09 22:05:46.000,2020-06-09 23:27:55.219
2020-06-10 09:52:48.000,2020-06-10 11:06:39.021
2020-06-03 14:34:41.000,2020-06-03 14:39:47.375
2020-06-17 05:06:44.000,2020-06-17 05:12:19.611
2020-06-18 03:13:35.000,2020-06-18 03:25:44.380
2020-06-04 02:52:16.000,2020-06-04 02:56:40.980
2020-06-28 22:49:36.000,2020-06-28 23:02:07.132
2020-06-16 02:46:42.000,2020-06-16 02:56:20.828
2020-06-03 01:23:09.000,2020-06-03 01:31:02.235
2020-06-19 01:48:49.000,2020-06-19 02:16:45.439
2020-06-10 16:34:51.000,2020-06-10 17:03:15.850
2020-06-26 17:26:49.000,2020-06-26 18:35:01.311
2020-06-15 20:35:43.000,2020-06-15 20:41:30.185
2020-06-08 21:21:09.000,2020-06-08 21:56:01.563
2020-06-13 22:50:43.000,2020-06-13 23:04:17.671
2020-06-26 13:01:43.000,2020-06-26 13:17:08.647
2020-06-17 13:07:06.000,2020-06-17 13:43:05.568
2020-06-21 03:38:13.000,2020-06-21 04:23:05.422
2020-06-30 14:37:11.000,2020-06-30 14:58:38.833
2020-06-29 12:53:24.000,2020-06-29 13:01:48.722
2020-06-24 08:36:03.000,2020-06-24 08:48:08.424
2020-06-02 05:28:01.000,2020-06-02 05:44:20.186
2020-06-20 05:38:29.000,2020-06-20 06:06:56.590
2020-06-02 06:34:38.000,2020-06-02 06:52:43.512
2020-06-23 04:07:11.000,2020-06-23 04:16:00.351
2020-06-25 12:50:23.000,2020-06-25 13:00:29.971
2020-06-17 23:29:36.000,2020-06-17 23:32:22.578
2020-06-17 06:01:44.000,2020-06-17 06:42:26.497
2020-06-24 05:49:47.000,2020-06-24 05:53:10.021
2020-06-20 04:51:06.000,2020-06-20 05:06:06.602
2020-06-25 20:53:35.000,2020-06-25 21:26:22.708
2020-06-04 14:39:15.000,2020-06-04 14:49:26.598
2020-06-26 13:48:19.000,2020-06-26 14:14:28.058
2020-06-11 12:58:01.000,2020-06-11 13:24:26.832
2020-06-19 14:33:38.000,2020-06-19 14:36:33.540
2020-06-02 15:34:43.000,2020-06-02 15:44:41.145
2020-06-24 12:49:10.000,2020-06-24 13:08:47.046
2020-06-27 18:13:07.000,2020-06-27 18:23:20.913
2020-06-05 15:38:16.000,2020-06-05 15:52:05.042
2020-06-26 06:07:28.000,2020-06-26 06:23:00.277
2020-06-06 12:31:35.000,2020-06-06 12:36:02.569
2020-06-01 19:48:15.000,2020-06-01 19:58:12.896
2020-06-09 14:39:34.000,2020-06-09 14:41:59.988
2020-06-11 06:25:21.000,2020-06-11 06:29:46.871
2020-06-13 05:32:11.000,2020-06-13 05:44:57.164
2020-06-10 13:23:36.000,2020-06-10 13:38:23.110
2020-06-05 08:05:05.000,2020-06-05 08:09:27.288
2020-06-22 11:48:46.000,2020-06-22 12:11:54.125
2020-06-20 04:47:25.000,2020-06-20 04:56:25.110
2020-06-24 10:59:53.000,2020-06-24 11:39:53.497
2020-06-07 10:03:14.000,2020-06-07 10:12:35.424
2020-06-02 17:01:58.000,2020-06-02 17:06:24.066
2020-06-08 11:14:23.000,2020-06-08 11:37:39.825
2020-06-26 12:24:24.000,2020-06-26 12:38:58.981
2020-06-02 16:57:23.000,2020-06-02 17:06:42.993
2020-06-18 13:59:23.000,2020-06-18 14:07:58.991
2020-06-05 07:46:56.000,2020-06-05 07:51:23.081
2020-06-08 22:49:36.000,2020-06-08 22:57:51.102
2020-06-17 08:54:07.000,2020-06-17 08:56:33.804
2020-06-29 14:43:09.000,2020-06-29 14:55:37.166
2020-06-02 08:43:16.000,2020-06-02 09:19:19.312
2020-06-15 08:44:42.000,2020-06-15 09:10:29.724
2020-06-12 11:03:18.000,2020-06-12 11:05:44.042
2020-06-09 01:59:36.000,2020-06-09 02:33:33.739
2020-06-28 09:24:56.000,2020-06-28 09:35:57.865
2020-06-29 16:05:54.000,2020-06-29 16:11:04.639
2020-06-09 01:53:22.000,2020-06-09 02:16:18.390
2020-06-19 09:06:55.000,2020-06-19 09:14:45.907
2020-06-19 06:39:19.000,2020-06-19 06:45:41.904
2020-06-11 12:01:57.000,2020-06-11 12:06:35.331
2020-06-29 18:22:47.000,2020-06-29 18:34:47.068
2020-06-04 17:13:04.000,2020-06-04 17:16:32.242
2020-06-22 09:06:31.000,2020-06-22 09:31:36.975
2020-06-18 00:38:11.000,2020-06-18 00:49:43.536
2020-06-08 17:37:14.000,2020-06-08 17:48:07.119
2020-06-05 09:08:00.000,2020-06-05 09:10:01.670
2020-06-25 15:37:43.000,2020-06-25 16:05:15.700
2020-06-10 03:59:31.000,2020-06-10 04:11:42.030
2020-06-06 19:12:37.000,2020-06-06 19:23:18.667
2020-06-03 03:13:43.000,2020-06-03 03:37:12.613
2020-06-21 06:44:50.000,2020-06-21 06:47:48.467
2020-06-11 13:28:15.000,2020-06-11 13:37:06.102
2020-06-21 16:05:54.000,2020-06-21 16:20:45.655
2020-06-02 13:01:12.000,2020-06-02 13:12:27.530
2020-06-09 21:17:16.000,2020-06-09 21:22:16.406
2020-06-14 00:48:01.000,2020-06-14 00:55:21.077
2020-06-25 07:20:21.000,2020-06-25 07:27:42.265
2020-06-10 01:04:34.000,2020-06-10 02:18:56.203
2020-06-30 12:45:03.000,2020-06-30 12:52:58.335
2020-06-16 18:00:28.000,2020-06-16 18:05:54.677
2020-06-08 03:47:47.000,2020-06-08 04:15:43.601
2020-06-14 04:20:48.000,2020-06-14 04:31:00.073
2020-06-25 17:13:39.000,2020-06-25 17:24:27.067
2020-06-11 03:50:44.000,2020-06-11 04:04:40.437
2020-06-06 13:20:47.000,2020-06-06 13:36:22.014
2020-06-20 18:25:23.000,2020-06-20 18:40:46.658
2020-06-13 19:37:27.000,2020-06-13 19:39:58.598
2020-06-11 21:05:03.000,2020-06-11 21:32:40.549
2020-06-02 11:39:51.000,2020-06-02 11:45:06.057
2020-06-30 08:36:22.000,2020-06-30 08:43:33.215
2020-06-12 18:30:26.000,2020-06-12 18:35:17.423
2020-06-20 04:54:40.000,2020-06-20 05:18:31.341
2020-06-23 01:14:39.000,2020-06-23 01:29:47.623
2020-06-28 05:50:39.000,2020-06-28 06:13:45.935
2020-06-02 05:50:50.000,2020-06-02 06:08:43.621
2020-06-27 06:17:22.000,2020-06-27 06:21:00.992
2020-06-30 08:24:53.000,2020-06-30 08:32:15.937
2020-06-28 12:52:06.000,2020-06-28 13:04:43.005
2020-06-23 22:58:29.000,2020-06-23 23:05:56.387
2020-06-02 08:19:41.000,2020-06-02 08:25:10.083
2020-06-18 14:41:41.000,2020-06-18 15:14:15.897
2020-06-19 18:03:17.000,2020-06-19 18:25:56.721
2020-06-26 19:54:20.000,2020-06-26 20:02:41.110
2020-06-21 13:57:06.000,2020-06-21 14:20:49.400
2020-06-23 02:53:41.000,2020-06-23 03:10:29.859
2020-06-14 21:09:46.000,2020-06-14 21:11:49.413
2020-06-24 07:34:44.000,2020-06-24 07:43:54.612
2020-06-29 10:33:04.000,2020-06-29 10:40:12.859
2020-06-17 09:56:15.000,2020-06-17 10:01:56.205
2020-06-09 10:45:03.000,2020-06-09 10:51:23.823
2020-06-25 19:14:26.000,2020-06-25 19:59:14.260
2020-06-18 12:58:56.000,2020-06-18 13:10:55.534
2020-06-21 09:00:27.000,2020-06-21 09:30:40.764
2020-06-02 10:28:43.000,2020-06-02 10:34:19.967
2020-06-11 20:01:33.000,2020-06-11 20:06:25.484
2020-06-14 02:19:25.000,2020-06-14 02:54:21.698
2020-06-03 01:31:14.000,2020-06-03 01:43:30.133
2020-06-30 00:57:59.000,2020-06-30 01:33:48.720
2020-06-23 08:36:00.000,2020-06-23 08:38:58.592
2020-06-02 12:29:33.000,2020-06-02 13:08:46.923
2020-06-02 08:01:34.000,2020-06-02 08:11:37.214
2020-06-24 09:12:00.000,2020-06-24 09:16:31.971
2020-06-08 12:05:07.000,2020-06-08 12:24:22.055
2020-06-26 00:47:58.000,2020-06-26 01:13:52.663
2020-06-02 15:19:24.000,2020-06-02 15:22:07.680
2020-06-17 12:13:08.000,2020-06-17 13:20:30.196
2020-06-24 22:15:59.000,2020-06-24 22:35:53.700
2020-06-28 09:03:18.000,2020-06-28 09:11:06.953
2020-06-26 15:19:27.000,2020-06-26 15:23:54.637
2020-06-28 05:07:11.000,2020-06-28 05:16:39.609
2020-06-08 23:39:04.000,2020-06-08 23:44:48.268
2020-06-08 23:08:25.000,2020-06-08 23:20:38.369
2020-06-24 00:32:53.000,2020-06-24 00:57:43.491
2020-06-17 08:54:26.000,2020-06-17 09:12:37.273
2020-06-06 03:38:21.000,2020-06-06 03:48:56.327
2020-06-25 16:43:03.000,2020-06-25 16:46:56.970
2020-06-13 04:23:10.000,2020-06-13 05:12:25.190
2020-06-13 08:17:26.000,2020-06-13 08:24:09.696
2020-06-22 15:39:45.000,2020-06-22 15:46:37.950
2020-06-13 19:05:34.000,2020-06-13 19:23:07.347
2020-06-19 07:53:13.000,2020-06-19 08:17:17.704
2020-06-21 21:00:49.000,2020-06-21 22:04:59.284
2020-06-15 04:11:05.000,2020-06-15 05:05:16.172
2020-06-27 13:22:24.000,2020-06-27 14:01:09.564
2020-06-02 20:07:03.000,2020-06-02 20:17:37.336
2020-06-17 16:26:18.000,2020-06-17 16:31:02.092
2020-06-06 18:34:23.000,2020-06-06 18:49:33.383
2020-06-05 06:07:34.000,2020-06-05 06:09:49.666
2020-06-27 23:55:14.000,2020-06-28 00:00:30.619
2020-06-18 06:39:45.000,2020-06-18 06:41:47.279
2020-06-10 05:24:39.000,2020-06-10 05:29:38.194
2020-06-08 16:27:56.000,2020-06-08 16:39:35.505
2020-06-27 19:38:35.000,2020-06-27 19:48:04.784
2020-06-30 20:05:13.000,2020-06-30 20:14:07.827
2020-06-16 00:21:26.000,2020-06-16 00:50:05.819
2020-06-27 19:55:36.000,2020-06-27 20:14:27.526
2020-06-23 01:15:24.000,2020-06-23 01:58:44.077
2020-06-28 08:01:04.000,2020-06-28 08:11:54.461
2020-06-15 21:15:25.000,2020-06-15 21:22:10.992
2020-06-18 17:47:55.000,2020-06-18 17:51:52.799
2020-06-06 04:43:02.000,2020-06-06 05:01:45.342
2020-06-14 13:43:42.000,2020-06-14 14:13:21.170
2020-06-29 23:29:31.000,2020-06-29 23:34:33.719
2020-06-12 12:42:41.000,2020-06-12 13:16:19.931
2020-06-08 17:05:26.000,2020-06-08 17:18:38.417
2020-06-08 12:19:10.000,2020-06-08 12:23:30.021
2020-06-02 09:00:34.000,2020-06-02 09:18:00.673
2020-06-20 15:56:45.000,2020-06-20 16:09:45.671
2020-06-21 07:17:16.000,2020-06-21 07:19:41.729
2020-06-04 07:07:01.000,2020-06-04 07:16:39.608
2020-06-01 15:26:49.000,2020-06-01 15:51:51.518
2020-06-03 15:18:17.000,2020-06-03 15:32:26.570
2020-06-12 06:36:05.000,2020-06-12 06:43:03.208
2020-06-13 11:53:20.000,2020-06-13 12:34:56.038
2020-06-12 20:55:15.000,2020-06-12 21:01:19.366
2020-06-17 15:35:33.000,2020-06-17 15:41:55.203
2020-06-27 09:40:30.000,2020-06-27 09:49:04.151
2020-06-06 08:07:23.000,2020-06-06 08:43:07.462
2020-06-24 19:54:12.000,2020-06-24 20:06:49.663
2020-06-23 23:33:08.000,2020-06-23 23:52:19.640
2020-06-03 21:50:51.000,2020-06-03 22:48:57.692
2020-06-01 00:50:51.000,2020-06-01 01:15:47.301
2020-06-21 06:51:23.000,2020-06-21 06:56:13.520
2020-06-12 15:04:06.000,2020-06-12 15:29:23.555
2020-06-20 05:08:19.000,2020-06-20 05:31:00.698
2020-06-12 05:52:05.000,2020-06-12 05:58:03.292
2020-06-03 04:36:47.000,2020-06-03 04:44:41.204
2020-06-06 04:49:55.000,2020-06-06 05:10:29.484
2020-06-11 23:46:37.000,2020-06-11 23:52:42.092
2020-06-30 15:07:26.000,2020-06-30 15:12:56.086
2020-06-15 14:06:26.000,2020-06-15 14:26:40.054
2020-06-26 02:57:55.000,2020-06-26 03:31:47.714
2020-06-14 05:30:52.000,2020-06-14 05:34:02.181
2020-06-03 13:54:26.000,2020-06-03 14:05:17.381
2020-06-14 03:20:48.000,2020-06-14 03:36:48.952
2020-06-20 01:25:11.000,2020-06-20 01:44:06.079
2020-06-17 03:04:30.000,2020-06-17 04:30:04.511
2020-06-25 14:23:23.000,2020-06-25 14:42:36.094
2020-06-17 11:21:26.000,2020-06-17 11:37:57.190
2020-06-03 02:51:02.000,2020-06-03 04:01:43.039
2020-06-29 20:05:18.000,2020-06-29 20:08:14.327
2020-06-02 03:50:35.000,2020-06-02 03:53:44.617
2020-06-29 15:40:48.000,2020-06-29 15:55:08.279
2020-06-23 00:13:45.000,2020-06-23 00:22:24.782
2020-06-09 16:23:21.000,2020-06-09 16:26:52.528
2020-06-10 07:08:48.000,2020-06-10 07:16:17.337
2020-06-13 01:47:13.000,2020-06-13 02:06:02.751
2020-06-27 07:46:39.000,2020-06-27 08:20:31.861
2020-06-20 19:29:01.000,2020-06-20 19:32:30.166
2020-06-07 03:05:25.000,2020-06-07 03:19:04.159
2020-06-13 08:50:32.000,2020-06-13 08:57:48.026
2020-06-03 01:03:35.000,2020-06-03 01:22:05.533
2020-06-03 04:07:08.000,2020-06-03 04:21:05.560
2020-06-29 14:19:44.000,2020-06-29 15:00:56.010
2020-06-05 16:58:36.000,2020-06-05 17:01:10.571
2020-06-30 10:33:10.000,2020-06-30 10:44:41.453
2020-06-07 06:20:52.000,2020-06-07 06:26:04.720
2020-06-20 12:24:53.000,2020-06-20 12:38:25.601
2020-06-28 04:45:16.000,2020-06-28 05:16:05.144
2020-06-26 01:12:47.000,2020-06-26 01:51:07.413
2020-06-23 00:54:10.000,2020-06-23 01:03:47.094
2020-06-02 16:05:56.000,2020-06-02 16:32:59.131
2020-06-03 08:37:41.000,2020-06-03 08:44:37.288
2020-06-05 02:46:52.000,2020-06-05 02:48:57.692
2020-06-01 02:37:15.000,2020-06-01 03:08:14.404
2020-06-06 04:19:16.000,2020-06-06 04:23:10.449
2020-06-21 05:33:34.000,2020-06-21 05:35:49.991
2020-06-01 21:53:01.000,2020-06-01 22:01:33.978
2020-06-27 11:43:47.000,2020-06-27 11:52:56.332
2020-06-27 03:02:28.000,2020-06-27 03:05:40.328
2020-06-27 21:27:39.000,2020-06-27 21:54:53.691
2020-06-28 19:33:35.000,2020-06-28 19:43:23.171
2020-06-09 20:15:21.000,2020-06-09 20:27:26.875
2020-06-21 03:06:23.000,2020-06-21 03:12:59.637
2020-06-14 12:55:48.000,2020-06-14 13:08:32.786
2020-06-30 21:15:15.000,2020-06-30 21:39:05.008
2020-06-18 09:55:44.000,2020-06-18 10:33:13.765
2020-06-13 19:41:17.000,2020-06-13 20:36:08.932
2020-06-18 21:02:28.000,2020-06-18 21:12:48.749
2020-06-04 08:13:10.000,2020-06-04 09:24:17.705
2020-06-11 07:23:37.000,2020-06-11 07:30:51.545
2020-06-17 07:20:36.000,2020-06-17 07:22:42.300
2020-06-19 23:54:09.000,2020-06-20 00:18:02.431
2020-06-08 12:40:19.000,2020-06-08 12:45:15.890
2020-06-30 06:55:26.000,2020-06-30 06:58:14.492
2020-06-11 06:27:05.000,2020-06-11 07:07:44.425
2020-06-04 03:32:47.000,2020-06-04 03:58:19.377
2020-06-03 05:07:12.000,2020-06-03 05:10:49.493
2020-06-16 15:44:55.000,2020-06-16 16:09:25.162
2020-06-25 09:11:32.000,2020-06-25 09:41:24.107
2020-06-19 09:27:08.000,2020-06-19 10:04:29.352
2020-06-13 17:42:47.000,2020-06-13 17:56:33.132
2020-06-27 10:58:23.000,2020-06-27 11:18:36.870
2020-06-08 03:56:32.000,2020-06-08 04:20:04.841
2020-06-01 13:38:35.000,2020-06-01 13:58:05.121
2020-06-09 08:29:07.000,2020-06-09 08:46:43.734
2020-06-14 20:41:59.000,2020-06-14 20:55:52.788
2020-06-21 09:46:51.000,2020-06-21 09:58:38.142
2020-06-24 14:14:09.000,2020-06-24 15:39:26.893
2020-06-07 04:57:06.000,2020-06-07 05:05:16.643
2020-06-29 08:49:36.000,2020-06-29 08:52:59.169
2020-06-13 04:22:56.000,2020-06-13 04:46:39.494
2020-06-17 06:05:30.000,2020-06-17 06:11:06.517
2020-06-03 21:51:32.000,2020-06-03 22:04:56.692
2020-06-18 22:01:38.000,2020-06-18 22:05:08.635
2020-06-06 16:24:32.000,2020-06-06 16:41:01.131
2020-06-13 13:54:40.000,2020-06-13 14:39:54.282
2020-06-06 20:16:39.000,2020-06-06 20:37:53.405
2020-06-04 20:06:33.000,2020-06-04 20:12:10.331
2020-06-24 19:02:03.000,2020-06-24 19:57:13.707
2020-06-27 00:43:08.000,2020-06-27 00:50:38.165
